MMSI,# Timestamp,Latitude,Longitude,Navigational status,SOG,COG,Ship type,Width,Length,ts
3638,05/09/2026 12:00:08,55.332265,10.964858,Unknown value,0.0,0.0,Undefined,70.0,30.0,2026-09-05 12:00:08
2190047,05/09/2026 12:00:01,55.697262,12.613707,Unknown value,,,Undefined,,,2026-09-05 12:00:01
2190048,05/09/2026 12:00:03,56.079108,12.129472,Unknown value,,,Undefined,,,2026-09-05 12:00:03
2190049,05/09/2026 12:00:04,55.735817,10.918782,Unknown value,,,Undefined,,,2026-09-05 12:00:04
2190051,05/09/2026 12:00:05,55.052153,11.988528,Unknown value,,,Undefined,,,2026-09-05 12:00:05
2190052,05/09/2026 12:00:02,54.872383,11.196942,Unknown value,,,Undefined,,,2026-09-05 12:00:02
2190068,05/09/2026 12:00:00,56.447255,10.945875,Unknown value,,,Undefined,,,2026-09-05 12:00:00
2190075,05/09/2026 12:00:05,55.027082,10.614563,Unknown value,,,Undefined,,,2026-09-05 12:00:05
2655140,05/09/2026 12:00:00,56.053638,12.70764,Unknown value,,,Undefined,,,2026-09-05 12:00:00
205196000,05/09/2026 12:01:37,54.58597,11.366895,At anchor,0.0,270.4,Other,34.0,83.0,2026-09-05 12:01:37
205210000,05/09/2026 12:00:04,54.621463,11.342585,Restricted maneuverability,0.0,342.8,Other,35.0,94.0,2026-09-05 12:00:04
205214000,05/09/2026 12:02:44,54.638922,11.376343,Moored,0.0,218.2,Other,48.0,130.0,2026-09-05 12:02:44
205354370,05/09/2026 12:01:14,55.307478,10.793328,Unknown value,0.0,,Sailing,4.0,13.0,2026-09-05 12:01:14
205393000,05/09/2026 12:02:47,54.627443,11.340238,At anchor,0.0,196.5,Cargo,22.0,98.0,2026-09-05 12:02:47
205499000,05/09/2026 12:00:29,54.635708,11.38592,Unknown value,0.0,,Dredging,40.0,60.0,2026-09-05 12:00:29
205520000,05/09/2026 12:00:27,54.601462,11.366678,At anchor,0.0,0.5,Other,28.0,127.0,2026-09-05 12:00:27
205602270,05/09/2026 12:00:29,55.81664,10.639632,Unknown value,0.0,,Sailing,4.0,10.0,2026-09-05 12:00:29
209114000,05/09/2026 12:01:05,55.225592,11.754152,Moored,0.0,,Cargo,12.0,89.0,2026-09-05 12:01:05
209239000,05/09/2026 12:00:01,54.537178,10.314692,At anchor,0.4,5.0,Cargo,13.0,87.0,2026-09-05 12:00:01
209325000,05/09/2026 12:02:40,55.473862,10.537985,Moored,0.0,265.7,Cargo,13.0,88.0,2026-09-05 12:02:40
209356000,05/09/2026 12:01:35,55.466705,10.528205,Moored,0.0,,Tanker,50.0,299.0,2026-09-05 12:01:35
209536000,05/09/2026 12:00:08,55.903547,10.476833,Under way using engine,6.8,190.2,Cargo,13.0,90.0,2026-09-05 12:00:08
209659000,05/09/2026 12:00:04,54.525902,12.274843,Under way using engine,14.3,23.0,Cargo,27.0,170.0,2026-09-05 12:00:04
209671000,05/09/2026 12:00:20,55.862768,12.827582,Moored,0.0,318.3,Cargo,13.0,89.0,2026-09-05 12:00:20
209681000,05/09/2026 12:03:46,54.52778,10.27017,At anchor,0.4,184.6,Cargo,13.0,90.0,2026-09-05 12:03:46
209764000,05/09/2026 12:00:03,54.523288,12.200548,Under way using engine,16.9,200.4,Passenger,24.0,150.0,2026-09-05 12:00:03
210028000,05/09/2026 12:00:10,54.799383,10.87103,Under way using engine,12.1,358.0,Cargo,27.0,170.0,2026-09-05 12:00:10
210362000,05/09/2026 12:00:03,54.7848,12.701833,Under way using engine,13.5,246.9,Tanker,32.0,182.0,2026-09-05 12:00:03
210388000,05/09/2026 12:00:54,55.489533,12.38182,At anchor,0.0,268.0,Cargo,16.0,133.0,2026-09-05 12:00:54
210399000,05/09/2026 12:00:10,55.007567,12.712693,Under way using engine,13.1,24.3,Passenger,26.0,176.0,2026-09-05 12:00:10
210552000,05/09/2026 12:01:19,55.47514,10.538377,Moored,0.0,189.8,Cargo,13.0,88.0,2026-09-05 12:01:19
211111620,05/09/2026 12:01:46,54.66087,10.019778,Unknown value,0.0,,Pleasure,5.0,15.0,2026-09-05 12:01:46
211116490,05/09/2026 12:00:09,55.67441,12.593838,Unknown value,0.0,,Sailing,4.0,12.0,2026-09-05 12:00:09
211116660,05/09/2026 12:01:42,54.63646,11.387643,Moored,0.0,12.8,Tug,9.0,24.0,2026-09-05 12:01:42
211126300,05/09/2026 12:00:22,54.903322,10.067877,Unknown value,7.1,152.6,Pleasure,4.0,12.0,2026-09-05 12:00:22
211129690,05/09/2026 12:01:23,55.687972,12.618663,Unknown value,0.0,,Pleasure,3.0,9.0,2026-09-05 12:01:23
211133640,05/09/2026 12:00:26,55.071543,10.2177,Unknown value,0.0,,Sailing,6.0,10.0,2026-09-05 12:00:26
211135850,05/09/2026 12:00:01,55.309283,10.792433,Unknown value,0.0,,Pleasure,4.0,12.0,2026-09-05 12:00:01
211141660,05/09/2026 12:01:46,55.094707,10.238927,Unknown value,0.0,,Pleasure,3.0,10.0,2026-09-05 12:01:46
211142460,05/09/2026 12:00:07,54.700295,10.051305,Unknown value,4.5,354.5,Sailing,4.0,14.0,2026-09-05 12:00:07
211143600,05/09/2026 12:00:35,56.138282,10.217782,Unknown value,0.0,,Sailing,3.0,11.0,2026-09-05 12:00:35
211144030,05/09/2026 12:00:15,55.718008,10.31254,Unknown value,7.3,216.6,Pleasure,3.0,13.0,2026-09-05 12:00:15
211145890,05/09/2026 12:00:03,55.816583,10.639862,Unknown value,0.0,,Sailing,4.0,13.0,2026-09-05 12:00:03
211150060,05/09/2026 12:00:52,54.580887,11.922168,Unknown value,0.0,,Sailing,4.0,10.0,2026-09-05 12:00:52
211150070,05/09/2026 12:00:41,55.60447,10.609432,Unknown value,0.0,,Sailing,,8.0,2026-09-05 12:00:41
211156690,05/09/2026 12:00:06,54.890758,10.414697,Unknown value,0.2,,Sailing,3.0,9.0,2026-09-05 12:00:06
211160160,05/09/2026 12:00:30,55.707588,10.219635,Unknown value,7.1,229.4,Sailing,3.0,10.0,2026-09-05 12:00:30
211160540,05/09/2026 12:00:40,55.594145,12.67862,Unknown value,0.0,,Sailing,4.0,11.0,2026-09-05 12:00:40
211162530,05/09/2026 12:01:46,55.138777,10.78629,Unknown value,0.0,,Sailing,3.0,10.0,2026-09-05 12:01:46
211165890,05/09/2026 12:01:22,55.135515,10.902057,Unknown value,0.0,,Pleasure,4.0,14.0,2026-09-05 12:01:22
