date,label,hour,messages,unique_ships
2026-07-15,csucs,0,419632,1848
2026-07-15,csucs,1,410499,1844
2026-07-15,csucs,2,413864,1823
2026-07-15,csucs,3,422989,1873
2026-07-15,csucs,4,433943,1980
2026-07-15,csucs,5,467750,2160
2026-07-15,csucs,6,474421,2409
2026-07-15,csucs,7,511705,2698
2026-07-15,csucs,8,549754,2905
2026-07-15,csucs,9,574394,2971
2026-07-15,csucs,10,562895,2958
2026-07-15,csucs,11,558224,2867
2026-07-15,csucs,12,551351,2739
2026-07-15,csucs,13,524639,2596
2026-07-15,csucs,14,488238,2471
2026-07-15,csucs,15,466066,2387
2026-07-15,csucs,16,422632,2265
2026-07-15,csucs,17,396644,2168
2026-07-15,csucs,18,389594,2099
2026-07-15,csucs,19,384003,2058
2026-07-15,csucs,20,375995,1963
2026-07-15,csucs,21,359868,1879
2026-07-15,csucs,22,342405,1827
2026-07-15,csucs,23,358716,1824
2026-07-16,csucs,0,374338,1811
2026-07-16,csucs,1,397404,1821
2026-07-16,csucs,2,398635,1823
2026-07-16,csucs,3,434692,1860
2026-07-16,csucs,4,469457,1958
2026-07-16,csucs,5,510933,2135
2026-07-16,csucs,6,494228,2429
2026-07-16,csucs,7,504302,2712
2026-07-16,csucs,8,538147,2887
2026-07-16,csucs,9,536018,2943
2026-07-16,csucs,10,508546,2898
2026-07-16,csucs,11,474982,2788
2026-07-16,csucs,12,442299,2652
2026-07-16,csucs,13,422539,2526
2026-07-16,csucs,14,421964,2412
2026-07-16,csucs,15,423257,2326
2026-07-16,csucs,16,404587,2217
2026-07-16,csucs,17,400700,2131
2026-07-16,csucs,18,430139,2070
2026-07-16,csucs,19,417857,2023
2026-07-16,csucs,20,440762,1947
2026-07-16,csucs,21,474592,1876
2026-07-16,csucs,22,507062,1824
2026-07-16,csucs,23,540640,1829
2026-09-05,atlag,0,243929,1066
2026-09-05,atlag,1,246336,1075
2026-09-05,atlag,2,253478,1082
2026-09-05,atlag,3,246114,1071
2026-09-05,atlag,4,238974,1067
2026-09-05,atlag,5,239622,1059
2026-09-05,atlag,6,251513,1109
2026-09-05,atlag,7,256047,1145
2026-09-05,atlag,8,247834,1177
2026-09-05,atlag,9,276501,1229
2026-09-05,atlag,10,266230,1261
2026-09-05,atlag,11,265574,1259
2026-09-05,atlag,12,263283,1249
2026-09-05,atlag,13,266175,1243
2026-09-05,atlag,14,262941,1229
2026-09-05,atlag,15,263569,1212
2026-09-05,atlag,16,249448,1200
2026-09-05,atlag,17,253537,1139
2026-09-05,atlag,18,254374,1129
2026-09-05,atlag,19,244508,1114
2026-09-05,atlag,20,237964,1098
2026-09-05,atlag,21,234061,1092
2026-09-05,atlag,22,231028,1079
2026-09-05,atlag,23,237164,1083
