nap,kapu,csoport,atkeles,eszakra,delre,hajo,atkeles_11_ora_nelkul
2026-07-08,Nagy-Balti-öv,Egyéb / ismeretlen,7,3,4,2,7
2026-07-08,Nagy-Balti-öv,Kedvtelési,60,34,26,48,44
2026-07-08,Nagy-Balti-öv,Személyszállító,6,4,2,4,6
2026-07-08,Nagy-Balti-öv,Szolgálati,2,1,1,2,2
2026-07-08,Nagy-Balti-öv,Tanker,18,8,10,18,18
2026-07-08,Nagy-Balti-öv,Teherhajó,29,14,15,29,29
2026-07-08,Øresund,Egyéb / ismeretlen,2,2,0,2,2
2026-07-08,Øresund,Kedvtelési,24,6,18,23,24
2026-07-08,Øresund,Személyszállító,5,2,3,4,5
2026-07-08,Øresund,Szolgálati,12,6,6,1,12
2026-07-08,Øresund,Tanker,11,4,7,11,11
2026-07-08,Øresund,Teherhajó,34,12,22,33,33
2026-07-09,Nagy-Balti-öv,Egyéb / ismeretlen,2,1,1,1,2
2026-07-09,Nagy-Balti-öv,Kedvtelési,52,36,16,52,44
2026-07-09,Nagy-Balti-öv,Személyszállító,6,2,4,4,6
2026-07-09,Nagy-Balti-öv,Tanker,21,11,10,21,21
2026-07-09,Nagy-Balti-öv,Teherhajó,24,14,10,24,24
2026-07-09,Øresund,Egyéb / ismeretlen,4,2,2,2,4
2026-07-09,Øresund,Kedvtelési,119,72,47,111,114
2026-07-09,Øresund,Személyszállító,10,4,6,5,10
2026-07-09,Øresund,Szolgálati,28,16,12,7,28
2026-07-09,Øresund,Tanker,14,7,7,13,14
2026-07-09,Øresund,Teherhajó,48,23,25,45,48
2026-07-15,Nagy-Balti-öv,Egyéb / ismeretlen,3,2,1,2,3
2026-07-15,Nagy-Balti-öv,Halászhajó,1,1,0,1,1
2026-07-15,Nagy-Balti-öv,Kedvtelési,65,43,22,65,53
2026-07-15,Nagy-Balti-öv,Személyszállító,7,3,4,5,7
2026-07-15,Nagy-Balti-öv,Szolgálati,3,2,1,2,3
2026-07-15,Nagy-Balti-öv,Tanker,14,8,6,14,14
2026-07-15,Nagy-Balti-öv,Teherhajó,39,25,14,39,37
2026-07-15,Øresund,Egyéb / ismeretlen,4,4,0,4,4
2026-07-15,Øresund,Kedvtelési,75,30,45,70,70
2026-07-15,Øresund,Személyszállító,7,3,4,5,7
2026-07-15,Øresund,Szolgálati,14,8,6,5,12
2026-07-15,Øresund,Tanker,17,10,7,16,17
2026-07-15,Øresund,Teherhajó,47,21,26,46,44
2026-07-16,Nagy-Balti-öv,Egyéb / ismeretlen,1,0,1,1,1
2026-07-16,Nagy-Balti-öv,Kedvtelési,60,42,18,58,50
2026-07-16,Nagy-Balti-öv,Személyszállító,5,2,3,3,5
2026-07-16,Nagy-Balti-öv,Szolgálati,6,2,4,6,6
2026-07-16,Nagy-Balti-öv,Tanker,14,8,6,14,14
2026-07-16,Nagy-Balti-öv,Teherhajó,31,18,13,29,29
2026-07-16,Øresund,Egyéb / ismeretlen,1,1,0,1,1
2026-07-16,Øresund,Halászhajó,2,1,1,1,2
2026-07-16,Øresund,Kedvtelési,81,39,42,80,70
2026-07-16,Øresund,Személyszállító,9,5,4,6,9
2026-07-16,Øresund,Szolgálati,12,5,7,7,12
2026-07-16,Øresund,Tanker,12,6,6,12,12
2026-07-16,Øresund,Teherhajó,41,15,26,41,39
2026-09-05,Nagy-Balti-öv,Kedvtelési,9,1,8,9,8
2026-09-05,Nagy-Balti-öv,Személyszállító,9,4,5,7,9
2026-09-05,Nagy-Balti-öv,Szolgálati,5,2,3,3,4
2026-09-05,Nagy-Balti-öv,Tanker,16,11,5,16,15
2026-09-05,Nagy-Balti-öv,Teherhajó,36,18,18,35,36
2026-09-05,Øresund,Halászhajó,1,0,1,1,1
2026-09-05,Øresund,Személyszállító,19,10,9,6,18
2026-09-05,Øresund,Szolgálati,19,10,9,5,17
2026-09-05,Øresund,Tanker,10,7,3,10,8
2026-09-05,Øresund,Teherhajó,25,2,23,25,24
