locode,kikoto,orszag,lat,lon,tengeri_kikoto,hajo_db
DKAAR,Aarhus,DK,56.15,10.216666666666667,1,21
DERSK,Rostock,DE,54.083333333333336,12.133333333333333,1,18
DKCPH,København,DK,55.666666666666664,12.583333333333334,1,17
SEHEL,Helsingborg,SE,,,1,17
DKROD,Rødbyhavn,DK,54.65,11.35,1,15
SEGOT,Göteborg,SE,57.71666666666667,11.966666666666667,1,14
DKKAL,Kalundborg,DK,,,1,14
DKGRE,Grenaa,DK,,,1,13
DEKEL,Kiel,DE,54.333333333333336,10.133333333333333,1,12
PLGDN,Gdansk,PL,,,1,11
LTKLJ,Klaipeda,LT,,,1,11
DKNBG,Nyborg,DK,,,1,11
DKSKA,Skagen,DK,,,1,11
RULED,Saint Petersburg (ex Leningrad),RU,59.88333333333333,30.25,1,8
DKAAL,Aalborg,DK,,,1,8
DKODE,Odense,DK,,,1,8
SETRG,Trelleborg,SE,55.36666666666667,13.166666666666666,1,8
SELAA,Landskrona,SE,55.86666666666667,12.833333333333334,1,7
DETRV,Travemünde,DE,,,1,7
DKHUN,Hundested,DK,,,1,6
BEANR,Antwerpen,BE,51.21666666666667,4.416666666666667,1,6
DKFRC,Fredericia,DK,,,1,6
SEMMA,Malmö,SE,55.6,13.0,1,6
DKKOG,Køge,DK,,,1,6
DKLIN,Lindø Havn,DK,,,1,5
DKGED,Gedser,DK,,,1,5
DKSVE,Svendborg,DK,,,1,5
DKRNN,Rønne,DK,,,1,5
FIHEL,Helsinki,FI,60.166666666666664,24.933333333333334,1,4
PLSWI,Swinoujscie,PL,53.9,14.25,1,4
DKSKH,Skovshoved,DK,55.766666666666666,12.6,1,4
RUULU,Ust'-Luga,RU,59.666666666666664,28.316666666666666,1,4
LVLPX,Liepaja,LV,56.516666666666666,21.016666666666666,1,4
DKHLS,Helsingør,DK,,,1,4
DKFAA,Faaborg,DK,,,1,4
EGPSD,Port Said,EG,,,1,4
PLSZZ,Szczecin,PL,,,1,4
DELBC,Lübeck,DE,,,1,4
SEUDD,Uddevalla,SE,58.36666666666667,11.933333333333334,1,4
SESOL,Sölvesborg,SE,56.05,14.55,1,3
DKKRR,Korsør,DK,,,1,3
DKRAN,Randers,DK,,,1,3
DEHAM,Hamburg,DE,53.516666666666666,9.933333333333334,1,3
PLGDY,Gdynia,PL,54.5,18.55,1,3
DKKLH,Klintholm Havn,DK,57.95,12.466666666666667,1,3
DEBRV,Bremerhaven,DE,53.53333333333333,8.6,1,3
DEECK,Eckernförde,DE,,,1,3
ESLPA,Las Palmas de Gran Canaria,ES,28.1,-15.416666666666666,1,2
DECKL,Kiel Canal,DE,53.88333333333333,9.133333333333333,1,2
LVVNT,Ventspils,LV,,,1,2
NOOSL,Oslo,NO,59.9,10.733333333333333,1,2
NOMON,Mongstad,NO,60.81666666666667,5.016666666666667,1,2
NOFRK,Fredrikstad,NO,59.2,10.916666666666666,1,2
BEGNE,Gent (Ghent),BE,51.05,3.716666666666667,1,2
DEKAP,Kappeln,DE,,,1,2
DEMAO,Maasholm,DE,56.68333333333333,10.0,1,2
NLEEM,Eemshaven,NL,,,1,2
NLRTM,Rotterdam,NL,51.916666666666664,4.5,1,2
DKNAK,Nakskov,DK,,,1,2
DEPUT,Puttgarden,DE,,,1,2
DKFDV,Frederiksværk,DK,,,1,2
IEWAT,Waterford,IE,52.25,-7.1,1,2
GBTEE,Teesport,GB,54.583333333333336,-1.15,1,2
DKKTD,Kerteminde,DK,,,1,2
NLDZL,Delfzijl,NL,52.516666666666666,6.933333333333334,1,2
DEROS,Rosenheim,DE,,,1,2
SEKAN,Karlshamn,SE,56.166666666666664,14.85,1,2
DKVRE,Avedore,DK,,,1,2
SEFAG,Falkenberg,SE,56.88333333333333,12.5,1,2
DEREN,Rendsburg,DE,,,1,2
DKBAG,Bagenkop,DK,,,1,2
SELYS,Lysekil,SE,58.28333333333333,11.433333333333334,1,2
DEFLF,Flensburg,DE,,,1,2
DKVOR,Vordingborg,DK,55.0,11.9,1,2
DEBRB,Brunsbüttel,DE,,,1,2
SENRK,Norrköping,SE,58.6,16.183333333333334,1,2
DKROF,Rødby,DK,54.68333333333333,11.383333333333333,1,2
SEHAN,Hargshamn,SE,60.166666666666664,18.466666666666665,1,2
LVSKU,Skulte,LV,57.31666666666667,24.433333333333334,1,2
NLAMS,Amsterdam,NL,52.4,4.816666666666666,1,2
GBIMM,Immingham,GB,53.6,-0.21666666666666667,1,1
NOTBO,Tjeldbergodden,NO,63.46666666666667,9.0,1,1
EEVEB,Vene-Balti,EE,59.45,24.65,1,1
DEHHF,Heiligenhafen,DE,,,1,1
GBTIL,Tilbury,GB,,,1,1
DKSSK,Skælskør,DK,,,1,1
FISUL,Sunila,FI,60.483333333333334,26.95,1,1
DKHNB,Havneby,DK,,,1,1
NOJEL,Jelsa,NO,59.333333333333336,6.016666666666667,1,1
