uticel_szoveg,hajo_db
SWEDISH SAR VESSEL,8
GILLELEJE,6
FOR ORDER,5
COPENHAGEN,4
PATROLLING,3
WINDDEPENDING,3
DKTHR,3
BALTIC SEA FOR ORDER,2
SEARCH AND RESCUE,2
KOEGE,2
TOWING IN AARHUS,2
GUARD VESSEL FEHMARN,2
SVENBORG,2
ROENNE,2
SAR IN OPERATION,2
FREDERIKSVAERK,2
SURVEY OPERATIONS,2
MILOPS,2
MUSHOLM,2
FOR ORDERS,2
RODBY TUNNEL HARBOUR,2
SVENDBORG DK,1
WORK AREA WEST/EAST,1
BARENTS SEA FOR ORDR,1
BREDGRUND,1
STIGS OMOE AGERSOE,1
PUTTGARDEN THP,1
SCHLEI     FCK PUTI,1
SNAPTUN-LANGOR-SNAPT,1
HOLBAEK,1
HANKO,1
SLV-AAR-SLV,1
IERW,1
SEJEROE,1
FISHING,1
GOTHENBURG,1
ROEDBYHAVN - RS2 OWF,1
LINDOE,1
DUMPING GRUND TAARS,1
0,1
DETRA,1
PUTTGARDEN<>ROEDBY,1
ROEDBYHAVN,1
KANAL KROEN,1
BREMERHAVEN VIA SKAW,1
RUTE T E 19,1
TAARS<-->SPODSBJERG,1
LYO,1
DIVING OPS CPA 0.3NM,1
MALMO/FLINTEN18,1
MILITARY OPS,1
AEROSKOEBING,1
KORSOER,1
MATILDES FAVN <3,1
DELBK,1
HJEM TIL RIKKE,1
SUEZ,1
DE TRAVEMUNDE,1
HALSSKOV,1
SKAW,1
TUBORG HAVN,1
DE TRA,1
DKF0WF0<-> KLINTHOLM,1
TBN,1
DK KLM<>OWF BALTIC2,1
LYOE,1
SERVICE BOAT KORSOR,1
SOEBY DK,1
SOEBY-FYNSHAV-SOEBY,1
FLC CONSTR. VESSEL,1
RODBY DK,1
LEBA BALTYK III FIEL,1
INKOO,1
KIEL PILOT SERVICE,1
ANHOLTWINDFARM,1
RU KLD,1
SOEBY,1
GED - ROS - GED,1
B,1
SELKA. .,1
DRILLING CLR 300 M,1
HGB-HLO-HGB,1
AEROESK.-SVBG.ROUTE,1
PILOT BOAT,1
AAR-ODD-AAR,1
GERTRUD,1
RODBYHAMN DK,1
FAYARD DK,1
SAR ON DUTY,1
STUDSTRUP,1
GEDSER PILOT,1
HOU,1
GEDSER-ASSENS,1
GRENA,1
DEROG,1
SEATRAIL,1
ROEDBY-PUTTGARTEN,1
SETRE,1
RODBYHAVEN,1
PILOT GROUNDS,1
EDUCATION AT SIMAC,1
STETTIN,1
ASSEN,1
FEHMARN PROJECT,1
TRAINING EX.,1
HJEM TIL HANNE,1
VEJROE,1
DIVING OPS TILL 2030,1
LANGOR,1
DRILLING CPA 0.5NM,1
GREAT BELT,1
HOU-TUNOE-HOU,1
AEROESK-SVENDB ROUTE,1
C,1
RUDKOEBING,1
SAILING,1
0MOE .:,1
CPH<>MIDDELGR<>FLAKF,1
WINDFARM SERVICE,1
NAESTVED,1
ETV FEHMARNBELT,1
LANDSKRONA-VEN,1
SURVEY OPS,1
SWINOUJSCIE PILOT,1
USPON,1
ASKOE-KRAGENAES,1
TVILLINGERE,1
REERSOE,1
...XXX,1
NORSMINDE,1
NAESTVED: ::::.,1
MORDEROEY,1
HOME,1
FEHMARN TUNNEL VSL,1
HOLBQK,1
SNAPTUN-HJARNOE,1
HJEM TIL VITA,1
OWA RODBYHAVN,1
VOLLEN,1
ORDERS,1
HAVNSO NEXELO_-,1
DKCHP,1
PILOT OPS SEGOT,1
KLINTHOLM<->DKF OWF,1
KLAGSHAMN SWE,1
WIND DEPENDING,1
SPODSBJERG,1
ROTTERDAM,1
HELSINGOR/HELSINGBOR,1
HANSTHO,1
NEUSTADT BIGHT,1
PALDISKI,1
W,1
'HELSINGBORG-HELSING,1
SUEZ FOR ORDER,1
BOUY TENDING,1
HAVNEBYEN,1
FLC PROJECT,1
FLC CONST.VESSEL,1
CONSTRUCTION VESSEL,1
OPEN SEA FOR ORDERS,1
DK ODDEN HVN,1
ONSEVIG,1
SURVEYVESSEL FLC,1
SUEZ EGYPT,1
UNDEFIND,1
KRAGENAES,1
ALEXANDRIA EGYPT,1
COASTGUARD PATROL,1
LUTEANDET,1
GROENSUND,1
GUARD VESSEL BUILDER,1
FENOE,1
ORDER,1
SOEBYE,1
KBH-WORKING AREA,1
LITTLE BELT,1
FAABORG LYOE AVERNAK,1
AUF DER SCHLEI,1
ON PATROL,1
SAELVIG>HOU>SAELVIG,1
PLGDM>DEBRV,1
SNAPTUN-ENDELAVE-T/R,1
DIVING OPERATIONS,1
SKAW BUNKERING,1
WEATHER DEPENDENT,1
DYVIG,1
OERESUND/KOEGE BUGT,1
HJEM TIL H.....,1
HAUSVIK,1
FEHMARNBAELT,1
RODBYHAVN-TUNNEL,1
FYNSHAV -BOJDEN,1
TUNNEL PROJECT,1
HORNBAEK,1
AARHUS PORT,1
PROVESTENEN,1
FAXE BUGT,1
AVONMOUTH\UK,1
SPODSBJERG<>TAARS,1
FAKSE BUGT,1
HAMINA,1
MARSTAL-RUDKOEBING,1
AVEDOERE,1
STRANDBY,1
KBH,1
CREW TRANSFER,1
DREJOE,1
PUTTGARDEN TUNNEL,1
LUEBECK,1
DKHEL,1
AGERSOE STIGS OMOE,1
SEATRIALS,1
NYBORG WORKSITE,1
SVENDBORG/DREJOE,1
HALLANDVADERO,1
ECKERNFOERDE,1
WIND-DEPENDING,1
PILOTAGE,1
STOCKVIK,1
WWW.NJORDX.COM,1
GUARD VESSEL FEMARN,1
HOHE DUENE,1
